VulnerabilityScore,Sector,Region,Size,Companies
1,Defense / Military Contractor,US,Small,298
1,Mining & Primary Industries,US,Small,1822
1,Pharmaceuticals,US,Small,4412
2,Energy,US,Small,14972
2,Food & Agriculture,US,Small,18016
2,Telecommunications,US,Small,2432
2,Utilities,US,Small,7166
4,IT - Hardware,US,Small,404
4,Manufacturing,US,Small,98102
4,Real Estate / Property / Construction,US,Small,116438
3,Tourism & Hospitality,US,Small,125503.2
4,Transportation / Aviation / Aerospace,US,Small,33564
3,Business & Professional Services,US,Small,145690
5,Education,US,Small,32092
4,Entertainment & Media,US,Small,36924
4,Finance - Insurance,US,Small,9746
4,Finance - Investment management,US,Small,12708
4,Healthcare,US,Small,148084
4,IT - Software,US,Small,2510
5,Retail,US,Small,193166
5,Finance - Banking,US,Small,7935.2
4,IT - Services,US,Small,850
1,Defense / Military Contractor,US,Medium,64
1,Mining & Primary Industries,US,Medium,566
1,Pharmaceuticals,US,Medium,812
2,Energy,US,Medium,5282
2,Food & Agriculture,US,Medium,4552
2,Telecommunications,US,Medium,530
2,Utilities,US,Medium,1264
4,IT - Hardware,US,Medium,146
4,Manufacturing,US,Medium,21132
4,Real Estate / Property / Construction,US,Medium,13420
3,Tourism & Hospitality,US,Medium,9060
4,Transportation / Aviation / Aerospace,US,Medium,7048
3,Business & Professional Services,US,Medium,37816
5,Education,US,Medium,5756
4,Entertainment & Media,US,Medium,6068
4,Finance - Insurance,US,Medium,2342
4,Finance - Investment management,US,Medium,2904
4,Healthcare,US,Medium,37570
4,IT - Software,US,Medium,640
5,Retail,US,Medium,30348
5,Finance - Banking,US,Medium,7394.8
4,IT - Services,US,Medium,326
1,Defense / Military Contractor,US,Large,50
1,Mining & Primary Industries,US,Large,162
1,Pharmaceuticals,US,Large,54
2,Energy,US,Large,1170
2,Food & Agriculture,US,Large,1432
2,Telecommunications,US,Large,86
2,Utilities,US,Large,188
4,IT - Hardware,US,Large,186
4,Manufacturing,US,Large,4238
4,Real Estate / Property / Construction,US,Large,1626
3,Tourism & Hospitality,US,Large,817.2
4,Transportation / Aviation / Aerospace,US,Large,1792
3,Business & Professional Services,US,Large,8946
5,Education,US,Large,774
4,Entertainment & Media,US,Large,814
4,Finance - Insurance,US,Large,1236
4,Finance - Investment management,US,Large,566
4,Healthcare,US,Large,5754
4,IT - Software,US,Large,684
5,Retail,US,Large,4400
5,Finance - Banking,US,Large,2091.6
4,IT - Services,US,Large,68
1,Defense / Military Contractor,US,Premier,10
1,Mining & Primary Industries,US,Premier,8
1,Pharmaceuticals,US,Premier,116
2,Energy,US,Premier,88
2,Food & Agriculture,US,Premier,64
2,Telecommunications,US,Premier,26
2,Utilities,US,Premier,178
4,IT - Hardware,US,Premier,24
4,Manufacturing,US,Premier,570
4,Real Estate / Property / Construction,US,Premier,56
3,Tourism & Hospitality,US,Premier,54
4,Transportation / Aviation / Aerospace,US,Premier,86
3,Business & Professional Services,US,Premier,98
5,Education,US,Premier,32
4,Entertainment & Media,US,Premier,74
4,Finance - Insurance,US,Premier,188
4,Finance - Investment management,US,Premier,112
4,Healthcare,US,Premier,94
4,IT - Software,US,Premier,22
5,Retail,US,Premier,354
5,Finance - Banking,US,Premier,145.6
4,IT - Services,US,Premier,46
1,Defense / Military Contractor,EU & Russia,Small,365.6060632
1,Mining & Primary Industries,EU & Russia,Small,2484.953223
1,Pharmaceuticals,EU & Russia,Small,8837.570801
2,Energy,EU & Russia,Small,33831.78492
2,Food & Agriculture,EU & Russia,Small,55947.3725
2,Telecommunications,EU & Russia,Small,4122.645864
2,Utilities,EU & Russia,Small,21557.29703
4,IT - Hardware,EU & Russia,Small,943.0884261
4,Manufacturing,EU & Russia,Small,256306.7551
4,Real Estate / Property / Construction,EU & Russia,Small,142961.3302
3,Tourism & Hospitality,EU & Russia,Small,249471.2376
4,Transportation / Aviation / Aerospace,EU & Russia,Small,97839.00774
3,Business & Professional Services,EU & Russia,Small,395615.9048
5,Education,EU & Russia,Small,48843.24926
4,Entertainment & Media,EU & Russia,Small,91892.99806
4,Finance - Insurance,EU & Russia,Small,8249.330446
